High,Open,Low,Close,Weighted_Price,Volume_BTC,Volume_Currency
9824.01,9824.01,9815.57,9824.01,9820.714288,0.19051226,1870.966474
9836.86,9815.58,9815.58,9832.18,9826.069041,1.60440615,15765.0056
9862.23,9839,9830.49,9862.23,9852.315152,15.42665475,151988.2643
9863.83,9863.83,9848.82,9848.82,9862.251641,0.51683251,5097.13227
9838.52,9838.39,9838.39,9838.52,9838.391006,0.26867845,2643.363646
9849.98,9846.67,9844.96,9844.96,9845.730805,3.65158952,35952.56743
9849.98,9847.25,9845.7,9849.98,9846.060025,0.24876104,2449.316132
9853.87,9845.57,9845.57,9853.87,9853.818567,0.10672433,1051.642185
9853.26,9853.26,9847.51,9847.55,9848.700999,0.57792794,5691.83948
9856.82,9847.54,9847.54,9856.82,9853.238217,0.02099613,206.8798705
9861.06,9858.03,9858.03,9861.04,9859.242985,0.5135605,5063.317757
9864.85,9864.85,9845.08,9845.08,9854.876568,0.44593931,4394.676857
9864.62,9864.62,9851.115,9851.115,9859.030147,0.22504108,2217.769274
9864.39,9864.39,9857.15,9857.15,9863.183727,0.00414285,40.8616907
9855.45,9848.97,9847.1,9855.44,9854.936258,0.53763049,5298.314209
9855.42,9855.39,9852.16,9852.16,9854.780284,0.08276598,815.6405479
9852.16,9842.29,9841.59,9841.59,9848.53635,0.22802977,2245.759479
9852.16,9852.16,9852.16,9852.16,9852.16,0.00397544,39.16667095
9846.94,9846.94,9846.94,9846.94,9846.94,0.09371286,922.7849097
9846.94,9846.94,9846.94,9846.94,9846.94,0.06915366,680.9519408
9846.94,9846.94,9838.19,9838.19,9845.918004,0.12880008,1268.155027
9838.77,9838.19,9838.19,9838.77,9838.19025,3.4796425,34233.38492
9836.83,9834.33,9828.59,9836.83,9834.888591,0.36976924,3636.63928
9836.47,9835.89,9835.89,9836.38,9836.214984,0.10777598,1060.107709
9836.36,9825.01,9825,9825,9825.073495,4.07967466,40083.10337
9829.15,9829.15,9819.51,9829.14,9822.539586,0.79519154,7810.80038
9829.15,9829.15,9829.15,9829.15,9829.15,0.13840884,1360.44125
9829.15,9829.15,9818.4,9818.4,9828.976168,0.03168259,311.4074221
9853.15,9829.14,9829.12,9853.15,9829.567069,0.34498989,3391.101262
9864.53,9853.15,9848.11,9864.53,9853.026223,2.3660087,23312.34577
10000,9870,9870,10000,9981.220211,360.3658282,3596890.688
10100,10000,10000,10081,10046.1194,210.2655404,2112352.725
10153.64,10088.82,10035.63,10153.64,10095.55028,134.1890583,1354712.384
10235,10153.64,10144.66,10155.98,10194.78414,149.7679781,1526852.208
10189.04,10155.98,10128,10165.99,10165.37878,79.89116919,812123.9956
10216.03,10165.99,10151.72,10169.23,10186.59415,31.25405935,318372.4181
10195.07,10169.23,10160.74,10160.74,10176.2574,22.35414532,227481.5367
10180.23,10167.94,10158.13,10163.44,10165.00881,12.24332601,124453.5168
10174.51,10170.22,10145.21,10150,10152.587,21.62577662,219557.5785
10172.61,10145.58,10141.1,10150.99,10156.21737,37.47882507,380643.0942
10150.99,10150.99,10104.13,10125.87,10119.76288,36.16828607,366014.4789
10158.88,10141.46,10136.96,10149.7,10151.21235,20.70524253,210183.3137
10156.02,10149.5,10143.02,10149.92,10152.33909,5.87417367,59636.60295
10155.7,10149.92,10144.16,10144.16,10149.76026,0.56821879,5767.284494
10153.48,10153.48,10141.61,10143.35,10142.81286,0.53516337,5428.061912
10146.38,10142.82,10129.33,10146.38,10141.69788,2.57261576,26090.6918
10146.38,10139.54,10136.45,10136.45,10137.206,0.17402928,1764.170661
10141.36,10136.45,10133.15,10133.15,10136.94993,0.03464249,351.1691864
10138.22,10129.17,10128.34,10128.34,10129.64652,1.59755249,16182.64202
10151.54,10139.81,10137.68,10151.54,10142.30004,7.49199454,75986.05654
10168.2,10151.54,10138.87,10160.13,10155.34625,11.37661187,115533.4327
10163.33,10159.66,10154.69,10160.24,10161.98804,5.62103602,57120.90083
10167.86,10156.5,10150.98,10154.33,10155.87119,3.59004938,36460.07907
10165.5,10154.33,10151.89,10151.89,10161.84775,1.0234261,10399.90021
10151.41,10150.96,10146.42,10150.15,10150.12546,1.1805216,11982.44235
10150.18,10150.18,10144.19,10147.69,10149.89264,2.06252107,20934.36743
10145.19,10144.52,10140.8,10145.19,10144.2055,13.04929937,132374.7744
10150,10150,10142.32,10145.18,10144.61199,0.27809796,2821.195899
10154.54,10154.51,10146.77,10149.26,10153.49165,1.46891925,14914.65933
10154.54,10154.54,10144.94,10150.29,10151.24017,1.14449709,11618.06483
10150.55,10144.94,10144.94,10150.55,10148.03675,0.0572066,580.5346792
10183.11,10147.74,10147.74,10175.33,10173.86329,16.81225905,171045.6252
10173.44,10172.84,10165.31,10165.31,10168.41619,0.77051346,7834.901539
10165.31,10163.02,10162.33,10164.8,10163.18908,0.32507159,3303.764033
10162.48,10162.48,10159.19,10159.19,10161.22036,0.36007955,3658.847654
10158.69,10154.63,10154.63,10158.69,10158.14595,0.0418193,424.8065527
10156.39,10152.67,10150.77,10156.39,10151.54752,1.03979428,10555.52105
10156.39,10156.39,10146.89,10146.89,10149.00952,1.41095572,14319.80303
10152.67,10151.61,10146.89,10152.67,10147.63337,0.44249341,4490.260892
10166.09,10156.39,10156.39,10166.09,10165.01062,2.43777403,24779.99891
10157.92,10156.06,10153.97,10155.21,10155.76153,1.97915944,20099.87131
10169.97,10157.92,10157.92,10161.81,10164.08384,4.01997155,40859.32787
10169.97,10169.97,10169.97,10169.97,10169.97,0.05356534,544.7579008
10170,10169.34,10160.98,10170,10167.7916,2.0384464,20726.49819
10170,10170,10161.19,10163.94,10164.4853,0.06672269,678.201802
10166.13,10166.13,10152.83,10152.83,10165.8288,0.61659812,6268.230923
10166.13,10152.84,10152.84,10153.02,10154.05407,0.81185485,8243.618041
10166.41,10153.09,10153.09,10161.79,10161.76717,0.22426448,2278.923431
10175.97,10161.79,10153.61,10166.13,10167.621,11.68428627,118801.3945
10170.45,10170.45,10164.39,10170.45,10165.22336,0.18578011,1888.496314
10180,10164.75,10164.42,10166.73,10175.83852,5.91219666,60161.55848
10188,10166.56,10166.56,10172.49,10185.33383,5.1693943,52652.00662
10187.96,10172.5,10172.5,10186.14,10181.95987,4.44554901,45264.40162
10198.62,10173.21,10173.21,10187.06,10183.79151,20.14693229,205172.158
10179.46,10175.35,10174.75,10175.11,10178.68783,2.91378295,29658.48705
10175.34,10175.04,10165.96,10165.96,10166.00667,1.00508668,10217.71789
10172.21,10162.04,10154.4,10157.03,10157.9943,4.23007863,42969.11462
10168.61,10168.61,10154.53,10165.11,10164.5212,1.18384612,12033.22898
10156.22,10151.45,10146.47,10146.47,10147.26708,6.62425844,67218.1196
10170.18,10149.02,10144.06,10161.2,10162.81033,9.71996286,98782.139
10171.64,10171.63,10160.9,10171.59,10161.68914,3.77277704,38337.78749
10171.51,10171.5,10152.18,10152.18,10164.34095,0.03872942,393.6590296
10166.89,10159.59,10153.39,10153.39,10157.26933,0.31211237,3170.209403
10163.56,10153.39,10152.14,10152.15,10152.63193,0.97702082,9919.33277
10162.85,10152.14,10152.14,10152.15,10152.17844,1.59022443,16144.24217
10162.82,10162.82,10152.12,10162.82,10154.23122,3.87647447,39362.61807
10162.82,10162.82,10153.35,10153.36,10153.46446,2.29493946,23301.58624
10162.81,10162.81,10146.38,10151.35,10160.25982,1.26173636,12819.56924
10161.01,10161,10147.58,10158.6,10157.38298,1.50779877,15315.28957
10160,10158.63,10147.81,10158.85,10150.71108,0.2397149,2433.276691
10158.63,10158.63,10149.82,10158.62,10151.00958,0.46246159,4694.452032
10159.99,10158.63,10146.86,10146.86,10155.43542,1.52705719,15507.93067
10159.62,10159.62,10146.86,10158.26,10156.09113,0.05777352,586.753134
10158.22,10158.22,10146.49,10146.87,10146.88454,2.72465095,27646.71861
10158.81,10151.09,10150.14,10155.59,10153.77247,0.71518839,7261.860183
10155.62,10154.1,10145.54,10155.62,10153.84459,0.07113953,722.3397319
10159.72,10143.52,10143.52,10159.72,10157.97519,2.84049431,28853.67073
10167.34,10160,10148.54,10148.54,10155.25184,1.2843819,13043.22166
10159.05,10155.59,10155.26,10157.18,10156.67644,2.81745169,28615.94521
10149.81,10149.56,10137.82,10137.82,10147.06308,0.05941546,602.8924205
10147.1,10147.1,10137.01,10144.07,10143.15058,0.77095419,7819.904437
10143.24,10142.69,10127.83,10130.07,10131.17568,1.01449791,10278.05655
10156.07,10139.25,10139.25,10141.42,10143.61753,5.0509535,51234.94045
10153.43,10139.51,10139.51,10140.9,10141.17357,1.17188209,11884.25968
10153.41,10153.4,10135.33,10136.83,10146.39651,1.44515308,14663.09616
10151,10146.68,10136.83,10150.98,10147.43064,9.0869349,92209.04165
10150.11,10150.11,10136.86,10136.86,10137.7988,0.04337793,439.7567266
10147,10146.99,10136.87,10136.87,10146.92651,0.65341362,6630.139982
10137.38,10136.87,10136.87,10137.38,10136.89717,0.46679382,4731.840951
10137.38,10137.38,10137.38,10137.38,10137.38,0.001699,17.22340862
10146.94,10146.93,10137.38,10137.38,10138.60433,0.04611071,467.4982443
10143.81,10139.9,10137.3,10143.81,10139.85633,5.11867657,51902.64499
10143.81,10143.81,10137.3,10143.81,10143.55705,0.43752013,4438.0104
10142.61,10142.61,10137.3,10137.3,10139.10886,0.58028088,5883.531009
10151,10145.62,10144.05,10151,10150.7397,1.73993324,17661.60941
10151,10151,10141.65,10141.65,10149.98173,1.23819985,12567.70585
10146.72,10146.72,10140.14,10140.14,10140.15024,3.23377707,32790.98534
10140.14,10138.58,10137.12,10140.14,10139.9338,0.17564049,1780.982941
10143.64,10140.14,10135.17,10135.17,10136.35192,2.32608728,23578.03927
10143.64,10143.64,10129.9,10130,10131.14489,3.92382288,39752.81811
10139.3,10129.94,10125,10139.3,10125.71273,16.02224766,162236.6771
10137.97,10130.37,10130.37,10137.97,10137.51217,0.0163394,165.6408663
10147.01,10138,10136.47,10136.57,10137.72742,6.34131566,64286.52967
10147,10147,10146.35,10146.35,10146.73071,0.06594221,669.0978473
10145.04,10145.04,10144.98,10144.98,10145.02812,0.01084765,110.0497143
10144.72,10144.72,10134.6,10134.6,10138.58623,0.5860083,5941.295683
